Date,Ticker,Close,volatility_20,momentum_10,predicted_return,predicted_price,predicted_direction
2026-08-14,RELIANCE.NS,1310.0,0.012635967413963138,0.001682177006986807,-2.8348055e-05,1309.96286404795,DOWN
2026-08-14,TCS.NS,2361.0,0.022625100873242213,-0.0019445795850311365,-0.00051173836,2359.79178573204,DOWN
2026-08-14,HDFCBANK.NS,727.0,0.01349884296979946,-0.028269763715675578,-0.001496395,725.912120835,DOWN
2026-08-14,HINDUNILVR.NS,2077.0,0.02120853746377141,-0.011564292706163881,-0.0020390933,2072.7648032159,DOWN
2026-08-14,SBIN.NS,1067.699951171875,0.013610360587683674,0.039225156511745185,-0.0006356269,1067.0212923617814,DOWN
2026-08-14,BHARTIARTL.NS,1992.0999755859375,0.011544561419375262,0.010192685388406453,0.0035959482,1999.263463907366,UP
2026-08-14,MARUTI.NS,13834.0,0.009806131905977669,-0.018340913475504372,-4.4669837e-06,13833.938203747493,DOWN
2026-08-14,SUNPHARMA.NS,1930.0,0.00772392767666242,-0.03039437327304695,0.0020476778,1933.9520181540001,UP
2026-08-14,TATASTEEL.NS,183.5,0.011314136985899684,-0.0326322018121028,0.00018368337,183.533705898395,UP
2026-08-14,ULTRACEMCO.NS,11619.0,0.010731615680616261,-0.023859531210619123,0.0017490812,11639.3225744628,UP
